episode,episode_reward,mean_reward,method
169,-58.705354459963,-121.10698414404698,REINFORCE
170,-47.14425282312748,-119.0233933486277,REINFORCE
171,-123.30421439713541,-119.97681081078389,REINFORCE
172,31.60017232805626,-117.87143822833411,REINFORCE
173,-48.236605247944325,-115.7553773144532,REINFORCE
174,-158.7270023191566,-114.73607813313072,REINFORCE
175,-61.799006762422266,-114.44701081870569,REINFORCE
176,-36.84960543641204,-113.12233797568499,REINFORCE
177,-56.02136052678233,-112.66250791047416,REINFORCE
178,-39.344367179106314,-112.40898419714584,REINFORCE
179,-120.55885926967736,-112.56121263180154,REINFORCE
180,-46.29994374119007,-112.28042059301256,REINFORCE
181,-84.46736298864154,-112.47133249213579,REINFORCE
182,-37.94120854727942,-111.05598487085518,REINFORCE
183,-21.449669677709295,-109.37556686728638,REINFORCE
184,-55.894256689353774,-109.35887210448321,REINFORCE
185,-99.85355321501626,-109.24319332691466,REINFORCE
186,-41.02768416807908,-108.4537079230828,REINFORCE
187,-65.73271871843747,-106.08399723283895,REINFORCE
188,1.3277809890143857,-104.45652691274825,REINFORCE
189,-42.245221153806014,-104.29690117557479,REINFORCE
190,-6.019328390827695,-103.51186714792586,REINFORCE
191,-112.58176923581377,-104.2734657281305,REINFORCE
192,-29.7058929402029,-103.5532318131074,REINFORCE
193,-11.400054113139703,-102.6989888154158,REINFORCE
194,-107.94261155162317,-103.23101874631462,REINFORCE
195,-33.0459355772191,-102.54081676695783,REINFORCE
196,-24.964512977973527,-99.66985520185199,REINFORCE
197,-115.04349858425994,-99.54259912602676,REINFORCE
198,12.792704184775346,-98.23606129543842,REINFORCE
199,-44.2784384726954,-97.41255717536589,REINFORCE
200,-163.72887631546206,-98.08358909931441,REINFORCE
201,-186.03239687526872,-96.44463157184731,REINFORCE
202,-2.0960899784545006,-95.75271776794494,REINFORCE
203,-108.86993501671793,-96.12031479797346,REINFORCE
204,-25.255314208068683,-95.60647243035804,REINFORCE
205,-89.6622645302907,-95.94583578097932,REINFORCE
206,6.6524508400414675,-94.48043337669526,REINFORCE
207,-20.597002327032982,-93.7963499074827,REINFORCE
208,-83.1098450894105,-93.60668721150361,REINFORCE
209,-154.93420862952996,-95.08815550115152,REINFORCE
210,-22.411101983654518,-94.4401038360857,REINFORCE
211,-16.76174862938977,-93.6415794964244,REINFORCE
212,-20.354146936423405,-91.70497646252068,REINFORCE
213,-193.78898264558944,-91.27322920671634,REINFORCE
214,-128.14446664837257,-91.80016090324052,REINFORCE
215,-12.181406016694694,-89.62420616946082,REINFORCE
216,-67.74204956623481,-89.45553142974235,REINFORCE
217,-49.346923514071335,-88.61382172538976,REINFORCE
218,-25.961143236494024,-89.46896792377004,REINFORCE
219,-29.52186929248265,-87.08525532016658,REINFORCE
220,-4.509251640410582,-86.66953374952683,REINFORCE
221,-108.9109212723219,-86.91172901486873,REINFORCE
222,-28.348887145612878,-86.46789414131221,REINFORCE
223,-159.10463655773458,-87.32922761350484,REINFORCE
224,-149.86256466544305,-87.85485851840862,REINFORCE
225,-117.50344504247553,-87.58187864992249,REINFORCE
226,-43.06529338754896,-87.42945529586095,REINFORCE
227,-62.21672711829478,-84.88350758021332,REINFORCE
228,-72.12660457219881,-85.18994137578903,REINFORCE
229,-98.77658090657152,-83.93033129226504,REINFORCE
230,-232.01341494437747,-83.87799369831589,REINFORCE
231,7.518169699374809,-83.06179596558195,REINFORCE
232,-89.51138037127724,-82.91836911587892,REINFORCE
233,-34.25223552951587,-82.75688984394513,REINFORCE
234,-20.980820074613987,-82.07198135924662,REINFORCE
235,-45.12215886720949,-80.89712119941109,REINFORCE
236,-51.789485475589885,-80.80826827697705,REINFORCE
237,-26.078201591195466,-80.42493724729933,REINFORCE
238,-172.90949610524808,-81.15511510524072,REINFORCE
239,36.53422734444115,-79.85362652298436,REINFORCE
240,-61.706784265975394,-79.71198023389036,REINFORCE
241,-46.96758765296206,-79.40823546245129,REINFORCE
242,-42.46384316695753,-77.506390171877,REINFORCE
243,-33.07703013888785,-76.61009215525482,REINFORCE
244,-64.17332230716528,-76.18382708837002,REINFORCE
245,7.716563911992736,-75.21888713104329,REINFORCE
246,-66.38832619585963,-73.82834617736627,REINFORCE
247,-55.55499266450765,-71.70250695793212,REINFORCE
248,-2.361927806002626,-71.71187839270031,REINFORCE
249,-108.90203212100046,-70.64482356985549,REINFORCE
250,-74.88419634503954,-69.39655370963803,REINFORCE
251,-41.8022699067418,-67.74721527440946,REINFORCE
252,-78.74533702573882,-66.80793534422838,REINFORCE
253,-4.834087474478608,-65.39389908671639,REINFORCE
254,-64.62738601017563,-65.57234158348865,REINFORCE
255,-15.04506930087065,-62.05883371883258,REINFORCE
256,2.3342757028569707,-61.375908282501484,REINFORCE
257,28.58825783342175,-60.3513943336366,REINFORCE
258,-20.729085778233966,-60.33298334248291,REINFORCE
259,-2.6619840131557595,-58.43225395531495,REINFORCE
260,-41.91302551489281,-59.22719676406907,REINFORCE
261,-14.34116078673183,-58.3683597325597,REINFORCE
262,24.62273224118168,-57.883930956381676,REINFORCE
263,-8.55568568857052,-57.6894874557552,REINFORCE
264,-26.521959327112086,-57.00776460913953,REINFORCE
265,-44.64997072273878,-57.120874927729176,REINFORCE
266,-44.12868656472782,-56.665272084861755,REINFORCE
267,-37.575062546215946,-55.82345929588882,REINFORCE
268,-43.23944839059432,-55.3432909251246,REINFORCE
269,-55.43897948897873,-55.31062717541476,REINFORCE
270,-61.86616174225894,-55.45784626460606,REINFORCE
271,-62.798754998044906,-54.85279167061516,REINFORCE
272,-40.440140382927716,-55.573194797725,REINFORCE
273,-123.17773896754622,-56.322606134921024,REINFORCE
274,10.930599364536818,-54.62603011808409,REINFORCE
275,-43.93376416851097,-54.44737769214496,REINFORCE
276,22.933590516543692,-53.84954573261542,REINFORCE
277,-355.3931082972661,-56.843263210320245,REINFORCE
278,-21.964681111206346,-56.669466349641255,REINFORCE
279,-80.27523641925077,-56.266630121137,REINFORCE
280,-23.296024552056807,-56.036590929245655,REINFORCE
281,-68.58016655737927,-55.87771896493303,REINFORCE
282,-2.294466115495112,-55.5212515406152,REINFORCE
283,-26.904654525100852,-55.57580138908911,REINFORCE
284,-175.01362356935547,-56.766995057889126,REINFORCE
285,-131.15379575720436,-57.07999748331101,REINFORCE
286,-23.162488111294124,-56.90134552274315,REINFORCE
287,-68.35330418763124,-56.92755137743509,REINFORCE
288,-3.498889356689432,-56.97581808089213,REINFORCE
289,-23.196874616826534,-56.785334615522345,REINFORCE
290,29.48559030575202,-56.43028542855654,REINFORCE
291,-20.13155217568719,-55.50578325795527,REINFORCE
292,-9.461502843560766,-55.30333935698884,REINFORCE
293,-49.66923273825704,-55.686031143240015,REINFORCE
294,60.65080730801651,-54.000096954643624,REINFORCE
295,-67.59352353084607,-54.345572834179904,REINFORCE
296,-150.37406721608542,-55.59966837656102,REINFORCE
297,-86.05654437984646,-55.30979883451689,REINFORCE
298,-69.2746651993928,-56.13047252835858,REINFORCE
299,-133.09957359189448,-57.01868387955055,REINFORCE
300,-337.0973481397177,-58.75236859779311,REINFORCE
301,-47.043675948322736,-57.36248138852365,REINFORCE
302,-11.819828788347877,-57.45971877662257,REINFORCE
303,-124.2427907832733,-57.61344733428814,REINFORCE
304,-56.11034607207497,-57.921997652928205,REINFORCE
305,-9.31389573509719,-57.11851396497627,REINFORCE
306,-43.8154275857299,-57.623192749233986,REINFORCE
307,-7.091347866046405,-57.48813620462411,REINFORCE
308,-16.732199210276775,-56.82435974583278,REINFORCE
309,-15.372215573878321,-55.428739815276266,REINFORCE
310,-46.66320258165141,-55.67126082125624,REINFORCE
311,8.927255174605591,-55.414370783216285,REINFORCE
312,3.9657718120212166,-55.17117159573183,REINFORCE
313,-58.22648229211303,-53.81554659219707,REINFORCE
314,-41.67916623912271,-52.95089358810457,REINFORCE
315,-88.57605726216913,-53.71484010055931,REINFORCE
316,32.91181509267585,-52.70830145397021,REINFORCE
317,-30.408345063653485,-52.51891566946601,REINFORCE
318,-204.06513305353423,-54.299955567636424,REINFORCE
319,-71.77350684323247,-54.72247194314391,REINFORCE
320,18.24846076160165,-54.4948948191238,REINFORCE
321,-274.9265966722206,-56.155051573122776,REINFORCE
322,17.704636141811363,-55.69451634024854,REINFORCE
323,-35.054098855424456,-54.45401096322544,REINFORCE
324,30.388940041079508,-52.65149591616022,REINFORCE
325,-44.32390924967224,-51.91970055823218,REINFORCE
326,-28.653594072451583,-51.77558356508121,REINFORCE
327,11.399674628232788,-51.039419547615935,REINFORCE
328,-31.5340177736673,-50.63349367963062,REINFORCE
329,2.040855748712474,-49.62531931307778,REINFORCE
330,-191.15386667143974,-49.2167238303484,REINFORCE
331,17.67890235826475,-49.1151165037595,REINFORCE
332,-27.860008060756087,-48.49860278065428,REINFORCE
333,12.125562420872384,-48.0348248011504,REINFORCE
334,-295.41492460027075,-50.77916584640697,REINFORCE
335,-62.19122197847128,-50.949856477519596,REINFORCE
336,23.040626866121443,-50.20155535410248,REINFORCE
337,-335.7914067387852,-53.298687405578384,REINFORCE
338,22.793979424420968,-51.34165265028169,REINFORCE
339,-37.81642678621828,-52.08515919158828,REINFORCE
340,13.833843525105934,-51.329752913677474,REINFORCE
341,-294.468331077165,-53.8047603479195,REINFORCE
342,-333.573539492798,-56.715857311177906,REINFORCE
343,11.41524502558476,-56.270934559533174,REINFORCE
344,26.07257800018024,-55.36847555645973,REINFORCE
345,-7.6504562777530225,-55.522145758357176,REINFORCE
346,-212.62714270889242,-56.9845339234875,REINFORCE
347,-51.22584477101618,-56.94124244455259,REINFORCE
348,-262.6929392604761,-59.54455255909734,REINFORCE
349,-29.04778993644321,-58.74601013725176,REINFORCE
350,-55.09153730198887,-58.54808354682125,REINFORCE
351,-31.91332422165958,-58.449194089970426,REINFORCE
352,-32.07532419360706,-57.982493961649105,REINFORCE
353,30.221356120138495,-57.63193952570294,REINFORCE
354,-225.95642496173667,-59.24522991521855,REINFORCE
355,-29.52450124060408,-59.390024234615886,REINFORCE
356,-237.2576046380181,-61.785943038024634,REINFORCE
357,-160.01167302371022,-63.67194234659596,REINFORCE
358,29.974848496708066,-63.16490300384654,REINFORCE
359,3.078789272475234,-63.10749527099023,REINFORCE
360,55.39890637021945,-62.13437595213911,REINFORCE
361,-39.17233946136798,-62.38268773888547,REINFORCE
362,-75.03411108792807,-63.37925617217657,REINFORCE
363,41.58813439969205,-62.87781797129394,REINFORCE
364,-59.02624167911125,-63.202860794813944,REINFORCE
365,-94.4233036674954,-63.7005941242615,REINFORCE
366,-66.14113974391188,-63.92071865605333,REINFORCE
367,-29.388515785583166,-63.838853188447004,REINFORCE
368,-106.77559577596917,-64.47421466230075,REINFORCE
369,2.4365638837025188,-63.895459228573934,REINFORCE
370,-29.40521157312125,-63.570849726882564,REINFORCE
371,-79.26687542686432,-63.73553093117076,REINFORCE
372,-77.05564788935371,-64.10168600623503,REINFORCE
